customer_id,customer_city,customer_country,customer_state,customer_zipcode,customer_segment
12097.683,Caguas,Puerto Rico,PR,725.0,Consumer
5108.1045,Albuquerque,EE. UU.,CA,92745.16,Consumer
4293.4478,Amarillo,Puerto Rico,PR,2457.7297,Consumer
546.5306,Caguas,Puerto Rico,PR,725.0,Consumer
1546.398,Peabody,EE. UU.,CA,95118.6,Consumer
5048.3975,Caguas,Puerto Rico,PR,725.0,Consumer
7413.2383,Caguas,Puerto Rico,PR,725.0,Corporate
6775.2695,Caguas,Puerto Rico,PR,725.0,Home Office
4784.4346,Hanford,EE. UU.,KY,28629.11,Consumer
11880.099,Caguas,Puerto Rico,PR,725.0,Corporate
3338.5322,Caguas,Puerto Rico,PR,725.0,Corporate
1701.7117,Newark,EE. UU.,NJ,725.0,Consumer
1256.4532,Fayetteville,EE. UU.,AZ,78114.94,Home Office
8478.369,Caguas,Puerto Rico,PR,725.0,Corporate
11585.218,Tucson,EE. UU.,AZ,85222.0,Consumer
3379.1467,Rialto,EE. UU.,PA,10014.845,Consumer
9115.75,Caguas,Puerto Rico,PR,725.0,Consumer
9262.778,Caguas,Puerto Rico,PR,725.0,Consumer
7126.207,Caguas,Puerto Rico,PR,725.0,Consumer
3991.4944,Valrico,EE. UU.,NY,23233.688,Corporate
6733.472,Mililani,EE. UU.,CA,92791.484,Consumer
705.14264,Caguas,Puerto Rico,PR,725.0,Home Office
9810.397,Caguas,Puerto Rico,PR,725.0,Corporate
8992.01,Caguas,Puerto Rico,PR,725.0,Consumer
10331.418,Warren,EE. UU.,OH,67248.12,Consumer
399.5586,New Brunswick,EE. UU.,CA,92025.164,Consumer
1253.9034,Caguas,Puerto Rico,PR,725.0,Corporate
5954.027,Caguas,Puerto Rico,PR,725.0,Consumer
9520.989,Strongsville,EE. UU.,NY,11371.309,Corporate
10406.263,Endicott,EE. UU.,CO,11420.187,Home Office
10800.014,San Antonio,EE. UU.,MT,30326.36,Consumer
4571.0166,Caguas,Puerto Rico,PR,725.0,Corporate
9689.001,Chino,EE. UU.,PA,14449.525,Corporate
3908.6047,Longview,EE. UU.,CO,49298.09,Corporate
1076.6678,Aurora,EE. UU.,WI,89057.125,Corporate
343.69073,Freeport,EE. UU.,PA,19711.2,Corporate
9911.27,Lutz,EE. UU.,CA,92341.58,Home Office
4843.8867,Caguas,Puerto Rico,PR,725.0,Home Office
5875.9136,Rowland Heights,EE. UU.,IL,48691.668,Consumer
11747.014,Harlingen,EE. UU.,DC,60404.926,Consumer
1903.3698,Wilmington,EE. UU.,AZ,85720.81,Consumer
9276.169,Passaic,EE. UU.,CT,85016.31,Consumer
6636.108,Caguas,Puerto Rico,PR,725.0,Consumer
2147.5417,Caguas,Puerto Rico,PR,725.0,Consumer
4709.7383,Lancaster,EE. UU.,WV,44570.004,Consumer
1443.7852,Caguas,Puerto Rico,PR,725.0,Consumer
3524.487,Lindenhurst,EE. UU.,UT,79929.82,Consumer
11986.932,Caguas,Puerto Rico,PR,725.0,Consumer
5563.4614,Caguas,Puerto Rico,PR,725.0,Corporate
1471.9968,Caguas,Puerto Rico,PR,725.0,Consumer
637.97156,Fountain Valley,EE. UU.,CA,92345.52,Consumer
7945.4346,Portland,EE. UU.,CA,92343.36,Consumer
3469.785,Caguas,Puerto Rico,PR,725.0,Consumer
1632.6,Chino Hills,EE. UU.,FL,33067.598,Home Office
10786.187,Harvey,EE. UU.,TX,75241.805,Consumer
7759.178,Caguas,Puerto Rico,PR,725.0,Home Office
4631.5127,Glendale,EE. UU.,CA,92068.37,Consumer
9633.959,El Monte,EE. UU.,MI,60608.65,Consumer
